1 48 133
1 52 51
1 3 98
1 43 15
2 14 49
2 50 88
2 51 80
2 9 277
2 15 249
2 31 148
2 39 232
2 49 171
2 57 32
3 12 43
3 13 109
3 21 97
3 26 117
3 34 93
3 14 154
3 50 25
3 51 39
4 35 72
4 23 194
5 7 54
5 25 44
5 36 41
5 37 79
5 16 161
6 7 133
6 25 193
6 36 183
6 37 222
6 16 302
7 11 47
7 41 183
8 9 183
8 15 145
8 31 52
8 39 107
8 49 69
8 57 133
8 30 166
8 44 59
9 19 172
9 27 132
9 32 173
9 33 223
9 38 229
9 18 254
9 20 85
9 53 82
9 54 99
10 30 267
10 44 47
10 17 71
10 22 170
10 24 213
11 17 91
11 22 100
11 24 87
11 25 30
11 36 57
11 37 52
12 48 144
12 52 41
12 43 63
13 48 78
13 52 28
13 43 74
14 43 237
14 19 236
14 27 217
14 32 129
14 33 72
14 38 271
15 19 128
15 27 90
15 32 143
15 33 197
15 38 185
15 18 234
15 20 47
15 53 38
15 54 58
16 41 38
16 35 216
17 47 161
17 55 131
18 31 139
18 39 237
18 49 196
18 57 20
18 30 31
18 44 192
19 50 112
19 51 120
19 31 94
19 39 43
19 49 50
19 57 210
20 31 55
20 39 82
20 49 135
20 57 199
20 30 215
20 44 74
21 48 207
21 52 111
21 43 61
22 47 142
22 55 81
23 45 120
23 46 97
24 47 37
24 55 48
25 41 113
26 48 295
26 52 195
26 43 185
27 50 107
27 51 107
27 31 55
27 39 48
27 49 83
27 57 192
28 56 30
28 40 36
28 42 164
29 56 29
30 53 247
30 54 267
30 47 94
30 55 86
31 32 41
31 33 98
31 38 152
31 53 82
31 54 101
32 50 58
32 51 40
32 39 137
32 49 115
32 57 104
33 50 69
33 51 50
33 39 192
33 49 151
33 57 47
34 48 85
34 52 33
34 43 98
35 45 90
36 41 91
37 41 128
38 50 141
38 51 156
38 39 89
38 49 56
38 57 245
39 53 60
39 54 41
40 48 66
40 52 52
42 48 163
42 52 86
43 50 123
43 51 125
44 53 73
44 54 71
44 47 151
44 55 136
46 58 17
49 53 135
49 54 129
53 57 228
54 57 245
